benchmark_id,target,scale_group,image_name,item_id,category_name,visibility,full_detected,full_top_score,roi_detected,roi_top_score,local_detected,local_top_score,full_localization_quality,roi_localization_quality,local_localization_quality,full_notes,roi_notes,local_notes,assistant_review_confidence,assistant_review_note
collar_002,collar,larger_part,145442.jpg,item1,long sleeve top,clear,no,,no,,yes,0.3096783459186554,missed,missed,coarse,,,,high,
collar_003,collar,larger_part,082889.jpg,item1,long sleeve outwear,clear,yes,0.391410082578659,yes,0.391410082578659,yes,0.3119315207004547,coarse,coarse,coarse,,,,high,
collar_004,collar,larger_part,087323.jpg,item1,long sleeve top,clear,no,,no,,no,,missed,missed,missed,,,,,
collar_005,collar,larger_part,141532.jpg,item1,long sleeve top,clear,yes,0.3890314698219299,yes,0.3890314698219299,yes,0.3013783395290375,coarse,coarse,coarse,,,,high,
collar_006,collar,larger_part,109191.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
collar_007,collar,larger_part,170066.jpg,item1,long sleeve top,clear,no,,no,,yes,0.313186913728714,missed,missed,coarse,,,,medium,
collar_008,collar,larger_part,034543.jpg,item1,long sleeve top,clear,yes,0.3267549872398376,yes,0.3267549872398376,no,,coarse,coarse,missed,,,,,
collar_009,collar,larger_part,150951.jpg,item1,long sleeve outwear,clear,yes,0.4210348725318908,yes,0.4210348725318908,yes,0.3786073625087738,coarse,coarse,coarse,,,,high,
collar_010,collar,larger_part,043744.jpg,item1,long sleeve outwear,clear,no,,no,,yes,0.310365617275238,missed,missed,coarse,,,,medium,
collar_011,collar,larger_part,127679.jpg,item1,long sleeve outwear,clear,yes,0.3604243993759155,yes,0.3604243993759155,no,,wrong,wrong,missed,,,,,
collar_012,collar,larger_part,118608.jpg,item1,long sleeve top,clear,yes,0.4348108768463135,yes,0.4348108768463135,yes,0.3635360598564148,coarse,coarse,coarse,,,,medium,
collar_013,collar,larger_part,053073.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
collar_014,collar,larger_part,172132.jpg,item1,long sleeve top,clear,yes,0.3554439544677734,yes,0.3554439544677734,no,,coarse,coarse,missed,,,,,
collar_015,collar,larger_part,026314.jpg,item1,short sleeve top,clear,yes,0.3307936191558838,yes,0.3307936191558838,yes,0.3011421859264374,coarse,coarse,coarse,,,,high,
collar_016,collar,larger_part,005237.jpg,item1,long sleeve top,clear,no,,no,,no,,missed,missed,missed,,,,,
collar_017,collar,larger_part,058348.jpg,item1,short sleeve top,clear,yes,0.3236313462257385,yes,0.3236313462257385,no,,coarse,coarse,missed,,,,,
collar_018,collar,larger_part,152404.jpg,item1,long sleeve outwear,clear,yes,0.4104207754135132,yes,0.4104207754135132,yes,0.3532828390598297,coarse,coarse,correct,,,,high,
collar_019,collar,larger_part,140980.jpg,item1,long sleeve outwear,clear,yes,0.3977667093276977,yes,0.3977667093276977,no,,coarse,coarse,missed,,,,,
collar_020,collar,larger_part,189367.jpg,item1,long sleeve top,clear,yes,0.4005087018013,yes,0.4005087018013,yes,0.3540873229503631,coarse,coarse,correct,,,,high,
collar_021,collar,larger_part,105891.jpg,item1,long sleeve outwear,clear,yes,0.3653196990489959,yes,0.3653196990489959,no,,coarse,coarse,missed,,,,,
collar_022,collar,larger_part,147261.jpg,item1,long sleeve top,clear,yes,0.4150492548942566,yes,0.4150492548942566,no,,coarse,coarse,missed,,,,,
button_001,button,small_object,100023.jpg,item1,long sleeve top,clear,no,,no,,yes,0.3045801818370819,missed,missed,coarse,,,,high,
button_002,button,small_object,091865.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
button_003,button,small_object,105965.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
button_004,button,small_object,178720.jpg,item1,long sleeve top,clear,no,,no,,no,,missed,missed,missed,,,,,
button_005,button,small_object,054074.jpg,item1,long sleeve top,clear,no,,no,,no,,missed,missed,missed,,,,,
button_006,button,small_object,181706.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
button_007,button,small_object,098376.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
button_008,button,small_object,174082.jpg,item1,long sleeve top,clear,no,,no,,no,,missed,missed,missed,,,,,
button_009,button,small_object,025070.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
button_010,button,small_object,042346.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
button_011,button,small_object,152404.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
button_012,button,small_object,119326.jpg,item1,long sleeve outwear,clear,no,,no,,yes,0.328490674495697,missed,missed,coarse,,,,high,
button_013,button,small_object,021683.jpg,item1,long sleeve outwear,clear,yes,0.3071412742137909,yes,0.3071412742137909,no,,coarse,coarse,missed,,,,,
button_014,button,small_object,130559.jpg,item1,long sleeve top,clear,yes,0.3147535026073456,yes,0.3147535026073456,no,,coarse,coarse,missed,,,,,
button_015,button,small_object,032653.jpg,item1,long sleeve top,clear,yes,0.3283323347568512,yes,0.3283323347568512,no,,coarse,coarse,missed,,,,,
button_016,button,small_object,105891.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
button_017,button,small_object,102501.jpg,item1,long sleeve top,clear,no,,no,,no,,missed,missed,missed,,,,,
button_018,button,small_object,151346.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
button_019,button,small_object,180957.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
button_020,button,small_object,009673.jpg,item1,short sleeve top,clear,no,,no,,no,,missed,missed,missed,,,,,
button_021,button,small_object,032686.jpg,item1,long sleeve top,clear,yes,0.3325546085834503,yes,0.3325546085834503,no,,coarse,coarse,missed,,,,,
button_022,button,small_object,156639.jpg,item1,long sleeve top,clear,no,,no,,no,,missed,missed,missed,,,,,
zipper_001,zipper,small_object,191459.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
zipper_002,zipper,small_object,151528.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
zipper_003,zipper,small_object,176369.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
zipper_004,zipper,small_object,183837.jpg,item1,shorts,clear,no,,no,,no,,missed,missed,missed,,,,,
zipper_005,zipper,small_object,116992.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
zipper_006,zipper,small_object,051339.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
zipper_007,zipper,small_object,173202.jpg,item1,shorts,partial,no,,no,,no,,missed,missed,missed,,,,,
zipper_008,zipper,small_object,115518.jpg,item1,long sleeve outwear,partial,no,,no,,no,,missed,missed,missed,,,,,
zipper_009,zipper,small_object,164368.jpg,item1,trousers,clear,no,,no,,no,,missed,missed,missed,,,,,
zipper_010,zipper,small_object,000503.jpg,item1,long sleeve outwear,clear,yes,0.3024744987487793,yes,0.3024744987487793,no,,coarse,coarse,missed,,,,,
zipper_011,zipper,small_object,152093.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
zipper_012,zipper,small_object,082100.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
zipper_013,zipper,small_object,082097.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
zipper_014,zipper,small_object,085215.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
zipper_015,zipper,small_object,030741.jpg,item1,short sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
zipper_016,zipper,small_object,135191.jpg,item1,shorts,clear,no,,no,,no,,missed,missed,missed,,,,,
zipper_017,zipper,small_object,168672.jpg,item1,shorts,clear,no,,no,,yes,0.3110457956790924,missed,missed,coarse,,,,medium,
zipper_018,zipper,small_object,140428.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
zipper_019,zipper,small_object,128187.jpg,item1,trousers,clear,no,,no,,yes,0.3030648827552795,missed,missed,correct,,,,low,Low-confidence visual judgment: central narrow box appears aligned with a zipper/seam; please verify manually before treating as final.
zipper_020,zipper,small_object,107554.jpg,item1,shorts,clear,no,,no,,no,,missed,missed,missed,,,,,
zipper_021,zipper,small_object,106749.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
zipper_022,zipper,small_object,133082.jpg,item1,long sleeve outwear,clear,no,,no,,no,,missed,missed,missed,,,,,
