candidate_id,target,sampling_priority,image_name,item_id,category_name,bbox_area_ratio,crop_path,target_present,visibility,usable_for_evaluation,notes
41,sleeve,1,108921.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\sleeve\crops\041_108921_item1.jpg,,,,
42,sleeve,1,016236.jpg,item1,short sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\042_016236_item1.jpg,,,,
43,sleeve,1,015092.jpg,item1,short sleeve dress,1.0,outputs\target_balanced_candidates\sleeve\crops\043_015092_item1.jpg,,,,
44,sleeve,1,154526.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\sleeve\crops\044_154526_item1.jpg,,,,
45,sleeve,1,123488.jpg,item1,long sleeve dress,1.0,outputs\target_balanced_candidates\sleeve\crops\045_123488_item1.jpg,,,,
46,sleeve,1,033255.jpg,item1,short sleeve dress,1.0,outputs\target_balanced_candidates\sleeve\crops\046_033255_item1.jpg,,,,
47,sleeve,1,013709.jpg,item1,long sleeve dress,1.0,outputs\target_balanced_candidates\sleeve\crops\047_013709_item1.jpg,,,,
48,sleeve,1,145540.jpg,item1,long sleeve top,1.0,outputs\target_balanced_candidates\sleeve\crops\048_145540_item1.jpg,,,,
49,sleeve,1,151435.jpg,item1,long sleeve outwear,1.0,outputs\target_balanced_candidates\sleeve\crops\049_151435_item1.jpg,,,,
50,sleeve,1,045056.jpg,item1,long sleeve dress,1.0,outputs\target_balanced_candidates\sleeve\crops\050_045056_item1.jpg,,,,
