audit_id,group_id,target,prompt_type,prompt,image_name,label,score,bbox_area_ratio,visualization_path,localization_quality,error_type,notes
19,2,collar,context,shirt collar,163919.jpg,shirt collar,0.42223960161209106,0.999619682910012,outputs\grounding_manual_audit\collar\context\19_163919.jpg,,,
20,1,collar,context,shirt collar,050408.jpg,shirt collar,0.36072006821632385,0.49803620669277937,outputs\grounding_manual_audit\collar\context\20_050408.jpg,,,
21,3,button,baseline,button,048101.jpg,button,0.348408579826355,0.028952852620634077,outputs\grounding_manual_audit\button\baseline\21_048101.jpg,,,
22,3,button,baseline,button,139646.jpg,button,0.3031083345413208,0.047876939418865075,outputs\grounding_manual_audit\button\baseline\22_139646.jpg,,,
23,2,button,baseline,button,188933.jpg,button,0.3309697210788727,0.9938965636260451,outputs\grounding_manual_audit\button\baseline\23_188933.jpg,,,
24,1,button,baseline,button,151350.jpg,button,0.3017018437385559,0.10477741706142689,outputs\grounding_manual_audit\button\baseline\24_151350.jpg,,,
25,2,button,baseline,button,163919.jpg,button,0.3074242174625397,0.9992393088831716,outputs\grounding_manual_audit\button\baseline\25_163919.jpg,,,
26,3,button,context,clothing button,048101.jpg,button,0.32999804615974426,0.028841632305371605,outputs\grounding_manual_audit\button\context\26_048101.jpg,,,
27,1,button,context,clothing button,026477.jpg,button,0.3082878589630127,0.9650704366688464,outputs\grounding_manual_audit\button\context\27_026477.jpg,,,
28,1,button,context,clothing button,147128.jpg,clothing button,0.32213106751441956,0.39032228100963484,outputs\grounding_manual_audit\button\context\28_147128.jpg,,,
29,2,button,context,clothing button,188933.jpg,button,0.33598896861076355,0.9938299270233805,outputs\grounding_manual_audit\button\context\29_188933.jpg,,,
30,1,button,context,clothing button,024313.jpg,button,0.32210054993629456,0.037738630495584825,outputs\grounding_manual_audit\button\context\30_024313.jpg,,,
31,3,zipper,baseline,zipper,043288.jpg,zipper,0.316636860370636,0.026821272481502092,outputs\grounding_manual_audit\zipper\baseline\31_043288.jpg,,,
32,2,zipper,baseline,zipper,122697.jpg,zipper,0.3352932035923004,0.05745396582939059,outputs\grounding_manual_audit\zipper\baseline\32_122697.jpg,,,
33,1,zipper,baseline,zipper,044863.jpg,zipper,0.33614102005958557,0.030218257303707426,outputs\grounding_manual_audit\zipper\baseline\33_044863.jpg,,,
34,2,zipper,baseline,zipper,159638.jpg,zipper,0.3100290298461914,0.03417051751512951,outputs\grounding_manual_audit\zipper\baseline\34_159638.jpg,,,
35,1,zipper,baseline,zipper,147128.jpg,zipper,0.31756967306137085,0.3926054048342575,outputs\grounding_manual_audit\zipper\baseline\35_147128.jpg,,,
36,1,zipper,context,clothing zipper,044863.jpg,zipper,0.34423214197158813,0.029977166493609368,outputs\grounding_manual_audit\zipper\context\36_044863.jpg,,,
37,3,zipper,context,clothing zipper,043288.jpg,zipper,0.3135462999343872,0.026790744165919023,outputs\grounding_manual_audit\zipper\context\37_043288.jpg,,,
38,1,zipper,context,clothing zipper,050408.jpg,zipper,0.3060000538825989,0.638411105931983,outputs\grounding_manual_audit\zipper\context\38_050408.jpg,,,
39,1,zipper,context,clothing zipper,147128.jpg,clothing zipper,0.3151146173477173,0.3917093173827835,outputs\grounding_manual_audit\zipper\context\39_147128.jpg,,,
40,2,zipper,context,clothing zipper,122697.jpg,zipper,0.32601532340049744,0.057442564594463695,outputs\grounding_manual_audit\zipper\context\40_122697.jpg,,,
